,interest,vaccancy,cpi,price,value,adj_price
2009-11-21,4.83,10.7,217.234,210000.0,190011.36765320867,96669.95037609214
2009-12-05,4.71,10.7,217.347,200000.0,188352.11540155395,92018.75342194739
2009-12-12,4.81,10.7,217.347,207000.0,188352.11540155395,95239.40979171554
2009-12-19,4.94,10.7,217.347,207000.0,188352.11540155395,95239.40979171554
2009-12-26,5.05,10.7,217.347,203000.0,188352.11540155395,93399.03472327659
2010-01-02,5.14,10.7,217.347,190500.0,185060.4043285369,87647.86263440488
2010-01-09,5.09,10.6,217.488,210000.0,185060.4043285369,96557.05142352682
2010-01-16,5.06,10.6,217.488,205000.0,185060.4043285369,94258.07400868094
2010-01-23,4.99,10.6,217.488,203000.0,185060.4043285369,93338.48304274259
2010-01-30,4.98,10.6,217.488,200000.0,185060.4043285369,91959.09659383507
2010-02-06,5.01,10.6,217.281,200000.0,183229.8771645952,92046.70449786221
2010-02-13,4.97,10.6,217.281,190000.0,183229.8771645952,87444.36927296911
2010-02-20,4.93,10.6,217.281,200000.0,183229.8771645952,92046.70449786221
2010-02-27,5.05,10.6,217.281,195000.0,183229.8771645952,89745.53688541565
2010-03-06,4.97,10.6,217.353,202500.0,180888.6393225756,93166.41592248554
2010-03-13,4.95,10.6,217.353,203000.0,180888.6393225756,93396.45645562749
2010-03-20,4.96,10.6,217.353,210000.0,180888.6393225756,96617.02391961463
2010-03-27,4.99,10.6,217.353,209000.0,180888.6393225756,96156.94285333077
2010-04-03,5.08,10.6,217.403,210000.0,184045.138537903,96594.80319958787
2010-04-10,5.21,10.6,217.403,208000.0,184045.138537903,95674.85269292512
2010-04-17,5.07,10.6,217.403,202000.0,184045.138537903,92915.0011729369
2010-04-24,5.07,10.6,217.403,214000.0,184045.138537903,98434.70421291335
2010-05-01,5.06,10.6,217.403,210000.0,184523.15639073108,96594.80319958787
2010-05-08,5.0,10.6,217.29,210000.0,184523.15639073108,96645.03658704957
2010-05-15,4.93,10.6,217.29,213250.0,184523.15639073108,98140.73358184914
2010-05-22,4.84,10.6,217.29,210000.0,184523.15639073108,96645.03658704957
2010-05-29,4.78,10.6,217.29,203000.0,184523.15639073108,93423.53536748125
2010-06-05,4.79,10.6,217.199,210450.0,186864.47453821407,96892.71129240927
2010-06-12,4.72,10.6,217.199,220000.0,186864.47453821407,101289.60078085073
2010-06-19,4.75,10.6,217.199,228000.0,186864.47453821407,104972.85899106348
2010-06-26,4.69,10.6,217.199,229750.0,186864.47453821407,105778.57172454754
2010-07-03,4.58,10.3,217.605,220000.0,185167.77341654868,101100.61809241517
2010-07-10,4.57,10.3,217.605,212000.0,185167.77341654868,97424.2319799637
2010-07-17,4.57,10.3,217.605,210000.0,185167.77341654868,96505.13545185083
2010-07-24,4.56,10.3,217.605,213000.0,185167.77341654868,97883.78024402013
2010-07-31,4.54,10.3,217.605,220000.0,185167.77341654868,101100.61809241517
2010-08-07,4.49,10.3,217.923,225000.0,185061.3019178029,103247.47731997081
2010-08-14,4.44,10.3,217.923,235000.0,185061.3019178029,107836.25408974728
2010-08-21,4.42,10.3,217.923,225000.0,185061.3019178029,103247.47731997081
2010-08-28,4.36,10.3,217.923,230000.0,185061.3019178029,105541.86570485905
2010-09-04,4.32,10.3,218.275,200000.0,183035.9743571893,91627.53407398923
2010-09-11,4.35,10.3,218.275,205000.0,183035.9743571893,93918.22242583896
2010-09-18,4.37,10.3,218.275,210000.0,183035.9743571893,96208.9107776887
2010-09-25,4.37,10.3,218.275,196000.0,183035.9743571893,89794.98339250944
2010-10-02,4.32,10.3,218.275,205000.0,180379.20863424047,93918.22242583896
2010-10-09,4.27,9.4,219.035,205000.0,180379.20863424047,93592.34825484511
2010-10-16,4.19,9.4,219.035,197500.0,180379.20863424047,90168.2379528386
2010-10-23,4.21,9.4,219.035,193000.0,180379.20863424047,88113.77177163467
2010-10-30,4.23,9.4,219.035,210000.0,180379.20863424047,95875.0884561828
2010-11-06,4.24,9.4,219.59,194023.0,176482.28337095887,88356.93792977823
2010-11-13,4.17,9.4,219.59,180000.0,176482.28337095887,81970.94585363632
2010-11-20,4.39,9.4,219.59,195000.0,176482.28337095887,88801.858008106
2010-12-04,4.46,9.4,220.472,200000.0,173348.54293806828,90714.46714322
2010-12-11,4.61,9.4,220.472,201000.0,173348.54293806828,91168.0394789361
2010-12-18,4.83,9.4,220.472,195000.0,173348.54293806828,88446.60546463949
2010-12-25,4.81,9.4,220.472,190000.0,173348.54293806828,86178.743786059
2011-01-01,4.86,9.4,220.472,185000.0,169863.80103389744,83910.8821074785
2011-01-08,4.77,9.7,221.187,195000.0,169863.80103389744,88160.69660513502
2011-01-15,4.71,9.7,221.187,199900.0,169863.80103389744,90376.0166736743
2011-01-22,4.74,9.7,221.187,185000.0,169863.80103389744,83639.63524076912
2011-01-29,4.8,9.7,221.187,195000.0,169863.80103389744,88160.69660513502
2011-02-05,4.81,9.7,221.898,181000.0,166466.49877505886,81569.00918440004
2011-02-12,5.05,9.7,221.898,180000.0,166466.49877505886,81118.35167509396
2011-02-19,5.0,9.7,221.898,191000.0,166466.49877505886,86075.58427746082
2011-02-26,4.95,9.7,221.898,191000.0,166466.49877505886,86075.58427746082
2011-03-05,4.87,9.7,223.046,200000.0,165992.83313993618,89667.6021986496
2011-03-12,4.88,9.7,223.046,185000.0,165992.83313993618,82942.53203375089
2011-03-19,4.76,9.7,223.046,181000.0,165992.83313993618,81149.1799897779
2011-03-26,4.81,9.7,223.046,170000.0,165992.83313993618,76217.46186885217
2011-04-02,4.86,9.7,223.046,185000.0,165158.73445577885,82942.53203375089
2011-04-09,4.87,9.2,224.093,195000.0,165158.73445577885,87017.44365062719
2011-04-16,4.91,9.2,224.093,187000.0,165158.73445577885,83447.49724444762
2011-04-23,4.8,9.2,224.093,192750.0,165158.73445577885,86013.3962238892
2011-04-30,4.78,9.2,224.093,195000.0,165158.73445577885,87017.44365062719
2011-05-07,4.71,9.2,224.806,190000.0,166837.9707725467,84517.31715345675
2011-05-14,4.63,9.2,224.806,195000.0,166837.9707725467,86741.45707854771
2011-05-21,4.61,9.2,224.806,190000.0,166837.9707725467,84517.31715345675
2011-05-28,4.6,9.2,224.806,198750.0,166837.9707725467,88409.56202236595
2011-06-04,4.55,9.2,224.806,190500.0,167470.63956966266,84739.73114596585
2011-06-11,4.49,9.2,224.806,200000.0,167470.63956966266,88965.59700363869
2011-06-18,4.5,9.2,224.806,210000.0,167470.63956966266,93413.87685382062
2011-06-25,4.5,9.2,224.806,205000.0,167470.63956966266,91189.73692872966
2011-07-02,4.51,9.2,224.806,204000.0,168616.54765649253,90744.90894371146
2011-07-09,4.6,9.8,225.395,211000.0,168616.54765649253,93613.43419330507
2011-07-16,4.51,9.8,225.395,205000.0,168616.54765649253,90951.440803922
2011-07-23,4.52,9.8,225.395,200000.0,168616.54765649253,88733.1129794361
2011-07-30,4.55,9.8,225.395,200000.0,168616.54765649253,88733.1129794361
2011-08-06,4.39,9.8,226.106,202750.0,167888.50679784673,89670.33161437557
2011-08-13,4.32,9.8,226.106,213000.0,167888.50679784673,94203.60361954127
2011-08-20,4.15,9.8,226.106,210000.0,167888.50679784673,92876.79230095618
2011-08-27,4.22,9.8,226.106,200000.0,167888.50679784673,88454.08790567257
2011-09-03,4.22,9.8,226.597,185000.0,166654.5092391045,81642.74019514822
2011-09-10,4.12,9.8,226.597,192000.0,166654.5092391045,84731.92495928895
2011-09-17,4.09,9.8,226.597,185000.0,166654.5092391045,81642.74019514822
2011-09-24,4.09,9.8,226.597,174500.0,166654.5092391045,77008.96304893709
2011-10-01,4.01,9.8,226.597,170000.0,163151.32793712508,75023.05855770376
2011-10-08,3.94,9.4,226.75,175750.0,163151.32793712508,77508.26901874311
2011-10-15,4.12,9.4,226.75,182250.0,163151.32793712508,80374.86218302094
2011-10-22,4.11,9.4,226.75,170500.0,163151.32793712508,75192.94377067254
2011-10-29,4.1,9.4,226.75,166000.0,163151.32793712508,73208.37927232635
2011-11-05,4.0,9.4,227.169,168375.0,162017.02306595273,74118.82783302298
2011-11-12,3.99,9.4,227.169,170000.0,162017.02306595273,74834.15430802618
2011-11-19,4.0,9.4,227.169,162500.0,162017.02306595273,71532.64750031914
2011-12-03,4.0,9.4,227.223,170000.0,158218.1388712464,74816.36982171699
2011-12-10,3.99,9.4,227.223,163950.0,158218.1388712464,72153.78724865
2011-12-17,3.94,9.4,227.223,167000.0,158218.1388712464,73496.08094251022
2011-12-24,3.91,9.4,227.223,160000.0,158218.1388712464,70415.40689102774
2011-12-31,3.95,9.4,227.223,160000.0,158218.1388712464,70415.40689102774
2012-01-07,3.91,8.8,227.842,161500.0,155516.7617028609,70882.4536301472
2012-01-14,3.89,8.8,227.842,160000.0,155516.7617028609,70224.1026676381
2012-01-21,3.88,8.8,227.842,160000.0,155516.7617028609,70224.1026676381
2012-01-28,3.98,8.8,227.842,160000.0,155516.7617028609,70224.1026676381
2012-02-04,3.87,8.8,228.329,157500.0,153385.81109320803,68979.41128809744
2012-02-11,3.87,8.8,228.329,150000.0,153385.81109320803,65694.67741723565
2012-02-18,3.87,8.8,228.329,155000.0,153385.81109320803,67884.49999781018
2012-02-25,3.95,8.8,228.329,150000.0,153385.81109320803,65694.67741723565
2012-03-03,3.9,8.8,228.807,158000.0,152391.91168360747,69053.83139501851
2012-03-10,3.88,8.8,228.807,156000.0,152391.91168360747,68179.73226343599
2012-03-17,3.92,8.8,228.807,164000.0,152391.91168360747,71676.12878976605
2012-03-24,4.08,8.8,228.807,168000.0,152391.91168360747,73424.32705293107
2012-03-31,3.99,8.8,228.807,175250.0,152391.91168360747,76592.9364049177
2012-04-07,3.98,8.6,229.187,179900.0,152814.04573050875,78494.85354753978
2012-04-14,3.88,8.6,229.187,173000.0,152814.04573050875,75484.21158268138
2012-04-21,3.9,8.6,229.187,185000.0,152814.04573050875,80720.11065200032
2012-04-28,3.88,8.6,229.187,182250.0,152814.04573050875,79520.2171152814
2012-05-05,3.84,8.6,228.713,190000.0,154765.58721311038,83073.54632224666
2012-05-12,3.83,8.6,228.713,185000.0,154765.58721311038,80887.40036639805
2012-05-19,3.79,8.6,228.713,182000.0,154765.58721311038,79575.71279288891
2012-05-26,3.78,8.6,228.713,185000.0,154765.58721311038,80887.40036639805
2012-06-02,3.75,8.6,228.713,190000.0,157138.6431815302,83073.54632224666
2012-06-09,3.67,8.6,228.524,202500.0,157138.6431815302,88612.13701843133
2012-06-16,3.71,8.6,228.524,209000.0,157138.6431815302,91456.47721902296
