,interest,vaccancy,cpi,price,value,adj_price
2010-10-09,4.27,9.4,219.035,166550.0,156691.28577007208,76038.0761065583
2010-10-16,4.19,9.4,219.035,167400.0,156691.28577007208,76426.14194078572
2010-10-23,4.21,9.4,219.035,168000.0,156691.28577007208,76700.07076494624
2010-10-30,4.23,9.4,219.035,170000.0,156691.28577007208,77613.16684548132
2010-11-06,4.24,9.4,219.59,166000.0,155002.3402921111,75595.42784279794
2010-11-13,4.17,9.4,219.59,168500.0,155002.3402921111,76733.91320187623
2010-11-20,4.39,9.4,219.59,170000.0,155002.3402921111,77417.00441732319
2010-12-04,4.46,9.4,220.472,170000.0,153193.65974955252,77107.297071737
2010-12-11,4.61,9.4,220.472,170000.0,153193.65974955252,77107.297071737
2010-12-18,4.83,9.4,220.472,172500.0,153193.65974955252,78241.22791102725
2010-12-25,4.81,9.4,220.472,169000.0,153193.65974955252,76653.7247360209
2011-01-01,4.86,9.4,220.472,165000.0,151295.0597602554,74839.4353931565
2011-01-08,4.77,9.7,221.187,165000.0,151295.0597602554,74597.51251203733
2011-01-15,4.71,9.7,221.187,168850.0,151295.0597602554,76338.1211373182
2011-01-22,4.74,9.7,221.187,163000.0,151295.0597602554,73693.30023916413
2011-01-29,4.8,9.7,221.187,160000.0,151295.0597602554,72336.98182985437
2011-02-05,4.81,9.7,221.898,165000.0,149869.1115467505,74358.4890355028
2011-02-12,5.05,9.7,221.898,155075.0,149869.1115467505,69885.71325563999
2011-02-19,5.0,9.7,221.898,162000.0,149869.1115467505,73006.51650758457
2011-02-26,4.95,9.7,221.898,163000.0,149869.1115467505,73457.17401689064
2011-03-05,4.87,9.7,223.046,164000.0,149349.157717742,73527.43380289267
2011-03-12,4.88,9.7,223.046,160000.0,149349.157717742,71734.08175891968
2011-03-19,4.76,9.7,223.046,160000.0,149349.157717742,71734.08175891968
2011-03-26,4.81,9.7,223.046,158000.0,149349.157717742,70837.40573693319
2011-04-02,4.86,9.7,223.046,165000.0,149173.8183004802,73975.77181388592
2011-04-09,4.87,9.2,224.093,160000.0,149173.8183004802,71398.92812359154
2011-04-16,4.91,9.2,224.093,160000.0,149173.8183004802,71398.92812359154
2011-04-23,4.8,9.2,224.093,162000.0,149173.8183004802,72291.41472513643
2011-04-30,4.78,9.2,224.093,165000.0,149173.8183004802,73630.14462745379
2011-05-07,4.71,9.2,224.806,164000.0,149348.70301057005,72951.78954298372
2011-05-14,4.63,9.2,224.806,164900.0,149348.70301057005,73352.1347295001
2011-05-21,4.61,9.2,224.806,167000.0,149348.70301057005,74286.27349803831
